question,category,a1,p1,a2,p2,a3,p3,a4,p4,a5,p5,a6,p6
اذكر شيء يطلع صوت مزعج,عامة,المنبه,28,أصوات البناء,22,بكاء الأطفال,18,زامور السيارة,14,المثقاب,10,الصفارة,8
اذكر سبب يخلّي الناس تبكي,عامة,فراق شخص عزيز,28,الحزن,22,الفرح الشديد,18,الألم,14,تقطيع البصل,10,مشهد مؤثر بفيلم,8
اذكر شيء الناس تحطه بالثلاجة,عامة,حليب,28,ماء بارد,22,خضار وفواكه,18,لحم أو دجاج,14,بيض,10,عصير,8
اذكر مهنة يحترمها الناس كثير,عامة,طبيب,28,معلم,25,عسكري,18,مهندس,12,إمام مسجد,10,قاضي,7
اذكر لون شائع للسيارات,عامة,أبيض,35,أسود,25,فضي,18,رمادي,10,أحمر,7,أزرق,5
اذكر شيء الناس تخبيه عن غيرها,عامة,الراتب,28,المشاكل الخاصة,22,العمر,18,كلمات السر,14,المشاعر الحقيقية,10,الأسرار,8
اذكر شيء يطلع من الأرض,عامة,النبات والشجر,30,الماء,25,البترول والنفط,20,المعادن,12,الحجارة,8,الحشرات,5
اذكر شيء الناس تسويه لما تزعل,عامة,تسكت وتنعزل,28,تبكي,22,تأكل كثير,18,تنام,14,تطلع تمشي,10,تتكلم مع أحد,8
اذكر شيء تلاقيه في كل شارع,عامة,سيارات,28,إشارات مرور,22,ناس يمشون,18,محلات,14,إنارة,10,أشجار,8
اذكر شيء تحطه على مكتبك,عامة,لابتوب أو كمبيوتر,28,جوال,22,كوب قهوة,18,أقلام,14,دفتر,10,مناديل,8
اذكر شيء يخلّيك تبتسم,عامة,ضحكة طفل,28,نكتة حلوة,22,هدية مفاجئة,18,خبر حلو,14,لقاء صديق,10,مقطع مضحك,8
اذكر شيء يدور,عامة,عجلة السيارة,28,الأرض,22,المروحة,18,عقارب الساعة,14,الغسالة,10,الكرة,8
اذكر شيء يطير,عامة,الطائرة,28,الطيور,25,الفراشة,18,الدرون,12,طائرة ورقية,10,البالون,7
اذكر شيء موجود في كل بيت سعودي,عامة,دلة قهوة عربية,28,تمر,25,سجادة صلاة,18,بخور وعود,14,أرز,10,مكيف,5
اذكر أكبر مدن السعودية من حيث السكان,عامة,الرياض,35,جدة,28,مكة المكرمة,18,المدينة المنورة,10,الدمام,6,الطائف,3
اذكر أكلة سعودية شعبية,عامة,الكبسة,35,المندي,25,الجريش,15,المطبق,12,المعصوب,8,الهريسة,5
اذكر مكان سياحي مشهور في السعودية,عامة,الحرم المكي,28,المسجد النبوي,22,العلا,18,أبها والسودة,14,جدة التاريخية,10,موسم الرياض,8
اذكر شيء يسويه الناس في العيد,عامة,زيارة الأهل والأقارب,30,توزيع العيديات,25,لبس جديد,18,أكل حلويات ومعمول,12,صلاة العيد,10,السفر,5
اذكر أكلة مشهورة في رمضان,عامة,سمبوسة,30,شوربة شوفان أو خضار,25,لقيمات,18,فول,12,تمر ولبن,10,عصيرات رمضان,5
اذكر مشروب مشهور عند العرب,عامة,القهوة العربية,30,الشاي,28,اللبن,16,الشاي الأخضر بالنعناع,12,العصير الطازج,8,القرفة,6
اذكر شيء مشهور عن مدينة جدة,عامة,الكورنيش,28,نافورة الملك فهد,22,البحر الأحمر,18,جدة التاريخية,14,المولات,10,المأكولات البحرية,8
اذكر شيء يشتهر فيه جنوب السعودية,عامة,العسل الطبيعي,28,الجبال الخضراء,22,الأمطار والضباب,18,القهوة,14,البرد في الصيف,10,المدرجات الزراعية,8
اذكر شيء مشهور عن مدينة الرياض,عامة,برج المملكة,28,بوليفارد,22,الدرعية التاريخية,18,موسم الرياض,14,المتحف الوطني,10,الحي المالي,8
اذكر شيء يسويه السعوديون في الشتاء,عامة,كشتة بالبر,30,حفلة شواء,22,جلسة قهوة عربية مع حطب,18,رحلة بر مع العائلة,14,إشعال النار والحطب,10,مشي في الطبيعة,6
اذكر ماركة سيارة منتشرة في السعودية,عامة,تويوتا,35,هيونداي,22,فورد,15,شفروليه,12,نيسان,10,مرسيدس,6
اذكر مطعم مشهور في السعودية,عامة,البيك,35,هرفي,22,ماكدونالدز,18,كودو,12,شاورمر,8,كنتاكي,5
اذكر مشروع سعودي ضخم,عامة,نيوم,30,رؤية 2030,22,ذا لاين,18,القدية,12,مشروع البحر الأحمر,10,برج جدة,8
اذكر شيء مشهور عن مكة المكرمة,عامة,المسجد الحرام والكعبة,35,ماء زمزم,22,الحج والعمرة,18,جبل عرفة,10,منى ومزدلفة,10,غار حراء,5
اذكر شيء مشهور عن المدينة المنورة,عامة,المسجد النبوي,35,الروضة الشريفة,22,التمر المدني,18,مسجد قباء,10,جبل أحد,10,البقيع,5
اذكر شيء تشتريه من البقالة دايم,عامة,خبز,28,حليب,25,بيض,18,ماء,14,جبنة,10,رز,5
اذكر جامعة سعودية معروفة,عامة,جامعة الملك سعود,28,جامعة الملك عبدالعزيز,22,كاوست,18,جامعة الإمام,12,جامعة الملك فهد للبترول,12,جامعة أم القرى,8
اذكر شيء يسويه الناس يوم الجمعة,عامة,صلاة الجمعة,35,غداء عائلي,25,نوم بعد الصلاة,15,زيارة الأهل,10,تنظيف البيت,10,الطبخ,5
اذكر منطقة من مناطق السعودية,عامة,منطقة الرياض,28,منطقة مكة,22,المنطقة الشرقية,18,منطقة المدينة,14,منطقة عسير,10,منطقة القصيم,8
اذكر برنامج أو مسلسل سعودي مشهور,عامة,طاش ما طاش,30,مسامير,22,سيلفي,18,شباب البومب,14,ممنوع التجول,10,خاوة,6
اذكر شيء يوديه السعودي هدية لما يسافر برا,عامة,بهارات ومنكهات,25,تمر فاخر,25,قهوة عربية,20,عود وبخور,14,حلويات سعودية,10,عسل طبيعي,6
اذكر عادة سعودية جميلة,عامة,تقديم القهوة والتمر للضيف,30,الكرم والضيافة,25,السلام والمصافحة,18,الذبيحة للضيف,12,توزيع العيديات,10,مشاركة الأكل مع الجيران,5
اذكر رياضة مشهورة عالمياً,عامة,كرة القدم,35,كرة السلة,22,السباحة,16,التنس,12,ألعاب القوى,10,الكريكت,5
اذكر نادي كرة قدم سعودي,عامة,الهلال,30,النصر,28,الأهلي,18,الاتحاد,14,الشباب,6,الفيحاء,4
اذكر لاعب كرة قدم عالمي مشهور,عامة,ليونيل ميسي,30,كريستيانو رونالدو,28,كيليان مبابي,18,نيمار,12,كريم بنزيما,7,محمد صلاح,5
اذكر منتخب فاز بكأس العالم,عامة,البرازيل,28,ألمانيا,22,الأرجنتين,18,فرنسا,14,إيطاليا,10,إسبانيا,8
اذكر دوري كرة قدم مشهور,عامة,الدوري الإنجليزي الممتاز,30,الدوري الإسباني,22,دوري روشن السعودي,18,الدوري الإيطالي,12,دوري أبطال أوروبا,10,الدوري الألماني,8
اذكر بطولة رياضية عالمية كبرى,عامة,كأس العالم لكرة القدم,35,الألعاب الأولمبية,28,دوري أبطال أوروبا,15,بطولة ويمبلدون,8,كأس آسيا,8,كأس أمم أفريقيا,6
اذكر نادي كرة قدم أوروبي مشهور,عامة,ريال مدريد,28,برشلونة,25,مانشستر يونايتد,18,بايرن ميونخ,12,ليفربول,10,باريس سان جيرمان,7
اذكر رياضة قتالية,عامة,الملاكمة,30,الكاراتيه,22,التايكوندو,18,الجودو,12,المصارعة,10,الكونغ فو,8
اذكر رياضة تُلعب بالمضرب,عامة,التنس,30,البادل,25,تنس الطاولة,20,الريشة الطائرة,12,السكواش,8,الكريكت,5
اذكر رياضة جماعية,عامة,كرة القدم,35,كرة السلة,25,كرة الطائرة,18,كرة اليد,10,الهوكي,7,البيسبول,5
اذكر رياضة فردية,عامة,السباحة,28,التنس,22,الجري والعدو,18,الملاكمة,14,الجمباز,10,رفع الأثقال,8
اذكر رياضة مائية,عامة,السباحة,30,الغوص,25,ركوب الأمواج,18,التجديف,12,كرة الماء,10,التزلج على الماء,5
اذكر شيء يلبسه لاعب كرة القدم,عامة,القميص الرسمي,28,الشورت,22,الحذاء الرياضي,20,الجوارب الطويلة,14,واقي الساق,10,قفازات الحارس,6
اذكر فاكهة استوائية,عامة,المانجو,30,الأناناس,25,الموز,18,الكيوي,12,الجوافة,10,الباباي,5
اذكر نوع بهارات يُستخدم كثير,عامة,الفلفل الأسود,28,الكمون,22,الكركم,18,القرفة,14,الزنجبيل,10,الهيل,8
اذكر أكلة عالمية يعرفها الجميع,عامة,البيتزا,30,البرجر,25,السوشي,18,الباستا,12,التاكو,10,الكاري الهندي,5
اذكر حلا عربي مشهور,عامة,الكنافة,30,البقلاوة,25,البسبوسة,18,اللقيمات,12,المهلبية,10,القطايف,5
اذكر أكلة فطور شعبية عربية,عامة,الفول,30,الفلافل,22,البيض بأنواعه,18,الجبنة والزيتون,14,اللبنة,10,الشكشوكة,6
اذكر نوع لحم يأكله الناس,عامة,الدجاج,30,لحم الغنم,25,لحم البقر,20,السمك,12,الديك الرومي,8,الربيان,5
اذكر نوع مكسرات,عامة,الفستق,25,اللوز,22,الكاجو,20,الجوز,14,البندق,12,الفول السوداني,7
اذكر نوع خبز,عامة,الخبز العربي,30,الصامولي,22,التوست,18,الخبز الفرنسي,12,التميس,10,خبز الرقاق,8
اذكر شيء يوضع على البيتزا,عامة,الجبنة,30,الفلفل الألوان,20,الزيتون,18,الفطر,14,البيبروني,10,البصل,8
اذكر نوع جبنة,عامة,الشيدر,25,الموزاريلا,22,الكريمي,18,الفيتا,15,البارميزان,12,الحلوم,8
اذكر مشروب ساخن غير القهوة,عامة,الشاي الأحمر,30,الشاي الأخضر,22,النعناع,18,القرفة,12,الكاكاو الساخن,10,اليانسون,8
اذكر مشروب بارد منعش,عامة,العصير الطازج,28,الماء البارد,22,البيبسي أو الكولا,18,اللبن,14,الآيس تي,10,السموذي,8
اذكر فاكهة لونها أصفر,عامة,الموز,30,الليمون,25,المانجو,20,الأناناس,12,المشمش,8,الخوخ,5
اذكر سورة من قصار السور,عامة,الإخلاص,28,الفلق,22,الناس,18,الكوثر,14,العصر,10,القدر,8
اذكر نبي من أنبياء الله,عامة,محمد ﷺ,28,إبراهيم عليه السلام,22,موسى عليه السلام,18,عيسى عليه السلام,14,نوح عليه السلام,10,يوسف عليه السلام,8
اذكر شيء يكثر عند المسلمين في رمضان,عامة,الصيام,30,صلاة التراويح,25,قراءة القرآن,18,الإفطار الجماعي,12,السحور,10,الصدقة,5
اذكر شهر من الأشهر الهجرية,عامة,رمضان,30,ذو الحجة,22,محرم,18,ربيع الأول,12,شعبان,10,رجب,8
اذكر اسم من أسماء الله الحسنى,عامة,الرحمن,25,الرحيم,22,الملك,18,السلام,14,الكريم,12,الغفور,9
اذكر صحابي جليل,عامة,أبو بكر الصديق,28,عمر بن الخطاب,25,عثمان بن عفان,18,علي بن أبي طالب,14,خالد بن الوليد,10,بلال بن رباح,5
اذكر عمل خير يؤجر عليه المسلم,عامة,الصدقة,28,مساعدة المحتاج,22,زيارة المريض,18,إطعام الطعام,14,كفالة يتيم,10,إماطة الأذى عن الطريق,8
اذكر ذكر يقوله المسلم كل يوم,عامة,بسم الله,28,الحمد لله,25,سبحان الله,18,الله أكبر,14,أستغفر الله,10,لا إله إلا الله,5
اذكر شيء يبطل الصيام,عامة,الأكل أو الشرب عمداً,35,التقيؤ عمداً,25,نية الإفطار,18,الحيض,12,الردة,10,,
اذكر شيء يعمله الحاج في الحج,عامة,الطواف حول الكعبة,28,السعي بين الصفا والمروة,22,الوقوف بعرفة,20,رمي الجمرات,14,حلق أو تقصير الشعر,10,ذبح الهدي,6
اذكر معركة إسلامية مشهورة,عامة,غزوة بدر,30,غزوة أحد,25,غزوة الخندق,18,فتح مكة,12,معركة اليرموك,10,معركة القادسية,5
اذكر سورة طويلة في القرآن الكريم,عامة,سورة البقرة,35,آل عمران,25,النساء,18,المائدة,10,الأنعام,7,الأعراف,5
اذكر مكان مقدس في الإسلام,عامة,مكة المكرمة,30,المدينة المنورة,28,المسجد الأقصى,22,جبل عرفة,10,غار حراء,6,غار ثور,4
اذكر حيوان يحبه الأطفال,عامة,القطة,30,الأرنب,25,الكلب,18,العصفور,12,السمكة,10,الحصان,5
اذكر حيوان يعيش في الصحراء,عامة,الجمل,35,الأفعى,22,العقرب,18,الغزال,12,الأرنب البري,8,الضب,5
اذكر طائر معروف,عامة,الصقر,28,الحمامة,22,النسر,18,الببغاء,14,العصفور,10,البومة,8
اذكر حيوان ضخم الحجم,عامة,الفيل,30,الحوت الأزرق,25,الزرافة,18,وحيد القرن,12,فرس النهر,10,الدب,5
اذكر شجرة مشهورة,عامة,النخلة,35,شجرة الزيتون,25,شجرة السدر,15,الصنوبر,10,البلوط,8,الأراك,7
اذكر ظاهرة طبيعية,عامة,المطر,28,البرق والرعد,22,الزلازل,18,البراكين,14,قوس قزح,10,الكسوف والخسوف,8
اذكر حشرة معروفة,عامة,النملة,28,النحلة,22,الفراشة,18,الصرصور,14,الذبابة,10,البعوضة,8
اذكر حيوان بحري,عامة,الدولفين,28,الحوت,22,القرش,18,الأخطبوط,14,السلحفاة البحرية,10,نجم البحر,8
اذكر حيوان أليف يربيه الناس بالبيت,عامة,القطة,30,الكلب,25,سمك الزينة,18,الأرنب,12,الببغاء,10,الهامستر,5
اذكر حيوان سريع جداً,عامة,الفهد,35,الحصان,22,الغزال,18,الأرنب,12,النعامة,8,الذئب,5
اذكر دولة عربية في أفريقيا,عامة,مصر,30,المغرب,22,تونس,18,الجزائر,14,ليبيا,10,السودان,6
اذكر دولة أوروبية مشهورة,عامة,فرنسا,28,بريطانيا,22,ألمانيا,18,إيطاليا,14,إسبانيا,10,هولندا,8
اذكر عاصمة دولة عربية,عامة,الرياض,25,القاهرة,22,دمشق,18,بغداد,14,عمّان,12,الرباط,9
اذكر مدينة سياحية عالمية,عامة,باريس,28,لندن,22,دبي,20,إسطنبول,14,نيويورك,10,طوكيو,6
اذكر نهر مشهور في العالم,عامة,نهر النيل,30,نهر الأمازون,22,دجلة والفرات,18,نهر المسيسيبي,12,نهر الغانج,10,نهر الراين,8
اذكر صحراء مشهورة,عامة,الربع الخالي,30,الصحراء الكبرى,25,صحراء النفود,18,صحراء الدهناء,12,صحراء سيناء,10,صحراء كالاهاري,5
اذكر بحر أو محيط,عامة,البحر الأحمر,28,المحيط الهادي,22,البحر المتوسط,18,المحيط الأطلسي,14,الخليج العربي,10,المحيط الهندي,8
اذكر جبل مشهور,عامة,جبل إفرست,28,جبل أحد,22,جبل عرفة,18,جبال الألب,14,جبل كلمنجارو,10,جبل الطور,8
اذكر دولة آسيوية غير عربية,عامة,الصين,28,اليابان,22,الهند,18,كوريا الجنوبية,14,تايلاند,10,ماليزيا,8
اذكر دولة الناس تحب تسافر لها,عامة,تركيا,28,مصر,20,ماليزيا,18,بريطانيا,14,إندونيسيا,12,جورجيا,8
اذكر شركة تقنية عالمية كبرى,عامة,أبل,30,سامسونج,22,قوقل,18,مايكروسوفت,14,أمازون,10,ميتا (فيسبوك),6
اذكر منصة تواصل اجتماعي,عامة,واتساب,28,إنستقرام,22,تيك توك,18,تويتر/إكس,14,سناب شات,10,فيسبوك,8
اذكر نوع جوال مشهور,عامة,آيفون,35,سامسونج جالكسي,28,هواوي,15,شاومي,10,ون بلس,7,نوكيا,5
اذكر لعبة إلكترونية يلعبها الشباب,عامة,فورتنايت,25,ماين كرافت,22,فيفا,20,ببجي,14,قراند,12,كول أوف ديوتي,7
اذكر تطبيق توصيل في السعودية,عامة,هنقرستيشن,28,جاهز,25,كريم,18,أوبر,14,مرسول,10,ذا شفز,5
اذكر منصة مشاهدة أفلام ومسلسلات,عامة,نتفلكس,30,شاهد,25,يوتيوب,18,ديزني بلس,12,أبل تي في,10,أمازون برايم,5
اذكر جهاز كهربائي في البيت,عامة,التلفزيون,28,الثلاجة,22,المكيف,18,الغسالة,14,المايكرويف,10,الجوال,8
اذكر اختراع غيّر العالم,عامة,الكهرباء,30,الإنترنت,25,الهاتف,18,السيارة,12,الطائرة,8,الكمبيوتر,7
اذكر شيء تبحث عنه في الإنترنت كثير,عامة,وصفة أكل,26,معلومة أو سؤال,24,طريقة تصليح شي,18,سعر منتج,14,موقع مكان,10,أخبار,8
اذكر وظيفة يحلم فيها كثير من الناس,عامة,طيار,28,طبيب,25,رجل أعمال,18,مهندس,14,مبرمج,10,معلم,5
اذكر وظيفة تحتاج شجاعة,عامة,رجل إطفاء,28,عسكري,25,شرطي,20,غواص إنقاذ,12,طيار حربي,10,مسعف طوارئ,5
اذكر وظيفة تحتاج إبداع,عامة,مصمم جرافيك,28,مبرمج,22,مهندس معماري,18,كاتب ومؤلف,14,مصور,10,شيف طباخ,8
اذكر وظيفة ممكن تشتغلها من البيت,عامة,مبرمج ومطور,28,مصمم,22,كاتب محتوى,18,مترجم,14,تسويق إلكتروني,10,محاسب,8
اذكر وظيفة في المستشفى,عامة,طبيب,30,ممرض أو ممرضة,25,صيدلي,18,فني أشعة,12,فني مختبر,10,موظف استقبال,5
اذكر لغة مشهورة عالمياً,عامة,الإنجليزية,30,العربية,25,الصينية,18,الإسبانية,12,الفرنسية,10,الهندية,5
اذكر آلة موسيقية,عامة,العود,28,البيانو,22,القيتار,18,الكمان,14,الطبل,10,الناي,8
اذكر مادة دراسية في المدرسة,عامة,الرياضيات,28,اللغة العربية,22,اللغة الإنجليزية,18,العلوم,14,التاريخ,10,التربية الإسلامية,8
اذكر عملة عربية,عامة,الريال السعودي,30,الدرهم الإماراتي,22,الدينار الكويتي,18,الجنيه المصري,14,الدينار الأردني,10,الريال القطري,6
اذكر شيء يرمز للسعودية,عامة,السيفان والنخلة,28,العلم الأخضر,25,الكعبة والحرم,18,الجمل,12,النفط والبترول,10,رؤية 2030,7
اذكر هدية الناس تفرح فيها,عامة,عطر فخم,28,جوال جديد,22,فلوس أو بطاقة شراء,20,ساعة,14,باقة ورد,10,شوكولاتة فاخرة,6
اذكر مناسبة يجتمع فيها الناس,عامة,عيد الفطر والأضحى,30,الزواج والأعراس,25,رمضان,18,اليوم الوطني السعودي,12,حفل التخرج,10,المولود الجديد,5
اذكر شيء تشتريه للبيت الجديد,عامة,أثاث وكنب,28,ثلاجة,22,غسالة,18,مكيفات,14,سجاد وستائر,10,أجهزة مطبخ,8
اذكر شيء يسويه الأب مع عياله,عامة,يلعب معهم,28,يوصلهم المدرسة,22,يأخذهم نزهة,18,يشتري لهم أغراضهم,14,يعلمهم ويذاكر معهم,10,يحكي لهم قصص,8
اذكر شيء يسويه الطفل في المدرسة,عامة,يدرس ويتعلم,28,يلعب مع أصحابه,25,يأكل في الفسحة,18,يتكلم ويسولف,14,يرسم ويلون,10,يكتب الواجب,5
اذكر شيء تشتريه للأطفال,عامة,لعبة,30,ملابس,22,حلويات وشوكولاتة,18,كتب وقصص,14,جوال أو تابلت,10,حذاء رياضي,6
اذكر عضو من أعضاء جسم الإنسان,عامة,القلب,28,الدماغ,22,الكبد,18,الرئتين,14,الكلى,10,المعدة,8
اذكر شيء صحي لازم تسويه كل يوم,عامة,شرب ماء كافي,30,ممارسة رياضة أو مشي,25,أكل خضار وفواكه,18,النوم الكافي,12,تفريش الأسنان,10,تقليل السكريات,5
اذكر سبب يخلّي الناس تروح المستشفى,عامة,مرض أو حرارة,28,كسر أو إصابة,22,ولادة,18,عملية جراحية,14,حادث سير,10,فحص دوري,8
اذكر فيتامين أو معدن مهم للجسم,عامة,فيتامين سي,28,فيتامين دي,25,الحديد,18,الكالسيوم,14,فيتامين أ,10,الزنك,5
اذكر وسيلة مواصلات,عامة,السيارة,30,الطائرة,25,الباص,18,القطار,12,التاكسي,10,الدراجة,5
اذكر شيء موجود في المطار,عامة,الطائرات,28,كاونتر الجوازات,22,كاونتر التسجيل,18,الكافيهات والمطاعم,14,السوق الحرة,10,سير الحقائب,8
اذكر شيء تحطه في شنطة السفر,عامة,ملابس,30,شاحن الجوال,22,أدوات النظافة,18,جواز السفر,14,أدوية,10,كتاب أو تابلت,6
اذكر خطوط طيران معروفة,عامة,الخطوط السعودية,30,طيران ناس,22,طيران الإمارات,18,الخطوط القطرية,12,الخطوط التركية,10,مصر للطيران,8
اذكر قطعة من اللبس الرجالي السعودي,عامة,الثوب,35,الشماغ,25,البشت,18,الطاقية,10,العقال,7,السروال,5
اذكر ماركة ملابس أو أحذية عالمية,عامة,نايكي,28,أديداس,22,زارا,18,قوتشي,14,لويس فيتون,10,إتش آند إم,8
اذكر لون ملابس الناس تلبسه كثير,عامة,الأسود,30,الأبيض,28,الأزرق الغامق,18,الرمادي,12,البني,7,الأحمر,5
اذكر نوع حذاء,عامة,حذاء رياضي,28,حذاء رسمي,22,صندل,18,شبشب,14,بوت,10,كعب عالي,8
اذكر هواية ممتعة,عامة,القراءة,25,الرسم والتلوين,22,التصوير,18,الطبخ,14,ممارسة الرياضة,12,السفر واستكشاف أماكن,9
اذكر مسلسل كرتون مشهور,عامة,توم وجيري,28,سبونج بوب,22,ميكي ماوس,18,النمر الوردي,14,المحقق كونان,10,دراغون بول,8
اذكر شيء يسويه الناس في الإجازة,عامة,السفر,30,النوم الطويل,25,زيارة الأهل والأصدقاء,18,المطاعم والكافيهات,12,الألعاب والأنشطة,10,القراءة,5
اذكر شيء تسويه في الحديقة,عامة,تمشي وتتأمل,28,تلعب مع العيال,22,تسوي شوي أو بيكنك,18,تقرأ كتاب,14,تتصور,10,تجلس وتستريح,8
اذكر شيء مصنوع من خشب,عامة,الباب,28,الطاولة,25,الكرسي,18,الخزانة,12,قلم الرصاص,10,السرير,7
اذكر شيء مصنوع من زجاج,عامة,النافذة,28,الكوب,25,المرآة,18,النظارة,14,شاشة الجوال,10,المزهرية,5
اذكر شيء له رائحة حلوة,عامة,العطر,30,الورد,25,البخور والعود,18,القهوة الطازجة,12,الخبز من الفرن,10,الفواكه,5
اذكر شيء يوضع على الحائط,عامة,صورة أو لوحة,28,ساعة حائط,25,تلفزيون,18,مرآة,14,رف,10,مكيف,5
اذكر شيء مستدير الشكل,عامة,الكرة,28,العجلة,22,الساعة,18,الصحن,14,العملة المعدنية,10,القمر,8
اذكر شيء بارد,عامة,الثلج,30,الآيس كريم,22,الماء البارد,18,الثلاجة من داخل,14,الشتاء,10,المكيف,6
اذكر شيء حار,عامة,الشمس,28,النار,25,الفلفل الحار,18,الماء المغلي,14,الشاي الحار,10,الصحراء في الصيف,5
اذكر شيء ينكسر بسهولة,عامة,الزجاج,30,البيض,25,شاشة الجوال,18,المزهرية,12,النظارة,10,الصحن,5
اذكر شيء يفسد بسرعة,عامة,الحليب الطازج,28,الخضار الورقية,22,اللحم خارج الثلاجة,18,الفواكه الطرية,14,الخبز,10,العصير الطبيعي,8
اذكر شيء يحتاج تركيز عالي,عامة,قيادة السيارة,28,المذاكرة والدراسة,22,البرمجة,18,الطبخ,14,الرياضة,10,القراءة,8
اذكر شيء تسويه قبل ما تنام,عامة,تشيك الجوال,30,تصلي,22,تفرش أسنانك,18,تقرأ أذكار النوم,14,تشرب ماء,10,تطفي الأنوار,6
اذكر معدن ثمين,عامة,الذهب,35,الفضة,25,البلاتين,18,الألماس,12,الزمرد,6,الياقوت,4
اذكر شيء يتغير لونه,عامة,أوراق الشجر في الخريف,28,لون السماء,25,الحرباء,20,الشعر مع العمر,12,الفاكهة لما تستوي,10,لون البحر,5
اذكر شيء تسويه وأنت تنتظر,عامة,تتصفح الجوال,30,تقرأ شيء,22,تتكلم مع أحد,18,تلعب لعبة,14,تسمع أغاني أو بودكاست,10,تفكر,6
اذكر سبب ضعف بطارية الجوال,عامة,كثرة الاستخدام,28,التطبيقات المفتوحة,22,الإضاءة العالية,18,البطارية القديمة,14,الألعاب الثقيلة,10,البلوتوث والواي فاي,8
اذكر شيء يحتاج صبر,عامة,الصيام,28,الدراسة الطويلة,22,تربية الأطفال,20,الزحمة,14,الطبخ,10,صيد السمك,6
اذكر شيء يخلّيك تضحك,عامة,نكتة حلوة,30,موقف مضحك,22,مقطع فيديو كوميدي,18,تقليد أحد,14,تصرف طفل,10,ذكرى قديمة,6
اذكر شيء يخلّيك تحس بالراحة,عامة,النوم العميق,28,الصلاة والدعاء,22,صوت البحر والطبيعة,18,القراءة,14,الهدوء,10,جلسة مع الأهل,8
اذكر شيء ثقيل الوزن,عامة,السيارة,28,الفيل,22,الصخرة الكبيرة,18,الثلاجة,14,الحديد,10,الخزنة,8
اذكر شيء يتحرك ببطء شديد,عامة,السلحفاة,30,الحلزون,25,السيارة في الزحمة,18,النملة,12,عقارب الساعة,10,نمو النبات,5
اذكر شيء يتحرك بسرعة كبيرة,عامة,الضوء,28,الصاروخ,22,الفهد,18,الطائرة النفاثة,14,البرق,10,سيارة السباق,8
اذكر شيء يوجد في كل منزل,عامة,باب رئيسي,28,نوافذ,22,حمام,18,مطبخ,14,كهرباء,10,مصدر ماء,8
اذكر شيء تحبه الأطفال كثير,عامة,الألعاب,30,الحلويات والشوكولاتة,22,مشاهدة الكرتون,18,الحديقة والملاهي,14,الجوال والتابلت,10,العيدية,6
